"","Price.Earnings","Earnings.Share","Market.Cap","Dividend.Yield","Price.Sales","Price.Book"
"136",21.23698,7.68,18041307136,0.019299999,1.8913206,2.6827867
"137",10.042462,14.13,45525630976,0.0108,1.2370625,1.8164593
"138",42.10586,5.29,160172343296,0.0047999998,6.7463713,3.13577
"139",41.719555,2.71,205133807616,0.0082,2.2785556,2.0404627
"140",133.21951,1.23,55402541056,0.0297,10.307729,2.6466599
"142",42.163265,0.49,14450492416,0.0585,5.6533074,1.6874949
"143",20.186321,10.09,27943266304,0.0104,3.2973301,4.904052
"144",24.87261,1.57,27476086784,0.0682,0.6363151,1.4930223
"146",22.313143,8.75,22871781376,0.035,2.0034146,10.348776
"147",16.265944,7.37,24827267072,0.0365,1.9997799,2.141747
"148",20.105923,5.57,86510256128,0.0372,2.9078102,1.7952006
"150",6.3148146,5.4,22400288768,0.0414,1.5417639,1.5715734
"152",31.515385,3.9,32235974656,0.0064,4.350921,4.3660975
"153",16.997482,3.97,32342085632,0.016,3.1504076,6.00089
"154",35.139046,7.12,70844301312,0.010299999,4.5196877,10.665444
"155",17.6203,5.32,32476971008,0.036199998,2.160666,1.481142
"156",60.926826,4.51,34059530240,0.0056,6.094902,6.935211
"157",5.4196815,64.12,14935493632,0.0227,0.9086784,0.97443277
"158",15.789474,3.42,20906100736,0.0612,1.20698,1.4913831
"159",148.98215,0.56,29949534208,0.0164,1.9383557,5.891117
"160",15.408878,25.68,91771936768,0.0167,0.52737945,2.0965016
"161",12.992177,7.67,11550730240,0.0358,1.2361655,2.0420082
"162",46.081562,2.82,74010550272,0.0162,4.231108,3.4246936
"164",10.152542,12.39,70750584832,0.0301,2.9647412,2.4019935
"166",82.534775,11.07,88157405184,0.0185,10.493067,6.487864
"167",29.801687,2.37,27622897664,0.0387,9.392895,2.4725196
"168",68.159996,0.75,30502488064,0.012200001,6.597917,1.4989883
"169",37.658882,10.7,21070215168,0.0137,5.71211,10.816579
"171",33.283043,8.55,18952333312,0.0349,10.814825,3.3657007
"172",34.76464,9.39,129009090560,0.0115,5.2432065,6.7483926
"173",19.679613,4.12,34768400384,0.0296,2.9310362,1.1564189
"174",17.343243,3.7,14775976960,0.0416,2.5573707,1.4720253
"176",16.460905,2.43,40193200128,0.038,1.7533242,1.5097759
"177",22.14035,5.13,15898474496,0.0128,1.602091,6.7458577
"179",41.17647,3.74,33966393344,0.0419,10.257874,2.33005
"180",11.454545,0.88,40060841984,0.0591,0.21921957,0.9040359
"181",9.484132,17.33,47991312384,0.048600003,5.2409425,1.2855086
"182",36.62,2,41989955584,0.0209,5.6135554,11.664278
"183",28.228346,1.27,52648947712,0.0153,2.0533912,2.935637
"184",33.959198,13.97,18041812992,0.0088,8.189447,9.414578
"185",16.903,15.67,63794204672,0.02,0.72831917,2.3460376
